titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Bodega en Arriendo, Cristo Rey, Medellín",Cristo Rey | Suroccidente | Medellín,$3.980.000,"165 m²
2 bañ.",165,,2,,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-cristo-rey-2-banos/737-M5859490,737-M5859490,1,1
"Apartamento en Arriendo, La America, Medellín",La America | Noroccidente | Medellín,$2.350.000,"65 m²
2 hab.
2 bañ.
1 par.",65,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-pinos-2-habitaciones-2-banos-1-garajes/18177-M5963027,18177-M5963027,1,2
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$15.000.000,"270 m²
4 hab.
5 bañ.
2 par.",270,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-na-4-habitaciones-5-banos-2-garajes/19797-M6051464,19797-M6051464,1,3
"Local Comercial en Arriendo, Villa Nueva, Medellín",Villa Nueva | Medellín,$10.000.000,144 m²,144,,,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-villa-nueva/19474-M5674368,19474-M5674368,1,4
"Apartamento en Arriendo, Los Colores, Medellín",Los Colores | Noroccidente | Medellín,$2.850.000,"60 m²
3 hab.
2 bañ.
1 par.",60,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-german-3-habitaciones-2-banos-1-garajes/17136-M6065913,17136-M6065913,1,5
"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",CALASANZ PARTE ALTA | Noroccidente | Medellín,$2.250.000,"57 m²
3 hab.
2 bañ.
1 par.",57,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-1-garajes/16115-M6034913,16115-M6034913,1,6
"Bodega en Arriendo, Belen, Medellín",Belen | Medellín,$13.500.000,"500 m²
4 bañ.
3 par.",500,,4,3,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-belen-4-banos-3-garajes/17698-M6050281,17698-M6050281,1,7
"Casa en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$9.500.000,"280 m²
4 hab.
2 bañ.
2 par.",280,4,2,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-2-banos-2-garajes/18537-M6039826,18537-M6039826,1,8
"Local Comercial en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$12.000.000,140 m²,140,,,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-florida/18537-M5986805,18537-M5986805,1,9
"Apartamento en Arriendo, Loma Del Indio, Medellín",Loma Del Indio | Medellín,$2.150.000,"54 m²
2 hab.
1 bañ.
1 par.",54,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-indio-2-habitaciones-1-banos-1-garajes/16509-M6043919,16509-M6043919,1,10
"Casa en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal | Medellín,$2.300.000,"42 m²
1 hab.
1 bañ.
1 par.",42,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-loma-de-los-bernal-1-habitaciones-1-banos-1-garajes/16509-M6044740,16509-M6044740,1,11
"Apartamento en Arriendo, Las Villas, Medellín",Las Villas | Medellín,$2.750.000,"78 m²
3 hab.
2 bañ.
1 par.",78,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-villas-3-habitaciones-2-banos-1-garajes/16509-M6063309,16509-M6063309,1,12
"Apartamento en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal | Suroccidente | Medellín,$3.800.000,"110 m²
4 hab.
3 bañ.
1 par.",110,4,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-4-habitaciones-3-banos-1-garajes/2511-M6064733,2511-M6064733,1,13
"Apartamento en Arriendo, Ciudad Del Rio, Medellín",Ciudad Del Rio | Medellín,$3.500.000,"65 m²
3 hab.
2 bañ.
1 par.",65,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6010905,11166-M6010905,1,14
"Apartamento en Arriendo, Belen, Medellín",Belen | Suroccidente | Medellín,$1.900.000,"70 m²
3 hab.
2 bañ.
1 par.",70,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-hondonada-3-habitaciones-2-banos-1-garajes/17136-M6067767,17136-M6067767,1,15
"Local Comercial en Arriendo, Las Palmas, Medellín",Las Palmas | Medellín,$2.300.000,"105 m²
2 bañ.",105,,2,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-las-palmas-2-banos/11166-M6011369,11166-M6011369,1,16
"Oficina en Arriendo, El Nogal, Medellín",El Nogal | Medellín,$9.750.000,"162 m²
1 bañ.",162,,1,,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011542,11166-M6011542,1,17
"Oficina en Arriendo, El Nogal, Medellín",El Nogal | Medellín,$5.104.000,"88 m²
1 bañ.",88,,1,,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011535,11166-M6011535,1,18
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$18.000.000,"260 m²
3 hab.
4 bañ.
2 par.",260,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015781,20765-M6015781,1,19
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$9.300.000,"165 m²
3 hab.
4 bañ.
3 par.",165,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5512141,687-M5512141,1,20
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.350.000,"176 m²
3 hab.
4 bañ.
2 par.",176,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-4-banos-2-garajes/687-M5015783,687-M5015783,1,21
"Apartamento en Arriendo, Lalinde, Medellín",Lalinde | Medellín,$9.500.000,"121 m²
2 hab.
3 bañ.
1 par.",121,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lalinde-2-habitaciones-3-banos-1-garajes/20772-M6015479,20772-M6015479,1,22
"Casa en Arriendo, Poblado San Lucas, Medellín",Poblado San Lucas | Medellín,$22.500.000,"381 m²
3 hab.
4 bañ.
2 par.",381,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-poblado-san-lucas-3-habitaciones-4-banos-2-garajes/20765-M6015148,20765-M6015148,1,23
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.300.000,"230 m²
3 hab.
3 bañ.
2 par.",230,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M5015802,687-M5015802,1,24
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$6.800.000,"128 m²
3 hab.
3 bañ.
2 par.",128,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5512158,687-M5512158,1,25
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.800.000,"210 m²
3 hab.
4 bañ.
2 par.",210,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4698307,687-M4698307,1,26
